ID do Sistema Peça, ID do Sistema Subsídio, Status, Mensagem
314790, 1513457, Sucesso, Inserção bem-sucedida.
314807, 309343, Sucesso, Inserção bem-sucedida.
314807, 314808, Sucesso, Inserção bem-sucedida.
314807, 1513460, Sucesso, Inserção bem-sucedida.
314807, 1513461, Sucesso, Inserção bem-sucedida.
314821, 2079299, Sucesso, Inserção bem-sucedida.
314821, 2079300, Sucesso, Inserção bem-sucedida.
314821, 2079303, Sucesso, Inserção bem-sucedida.
314821, 2079305, Sucesso, Inserção bem-sucedida.
314821, 2079307, Sucesso, Inserção bem-sucedida.
314879, 309340, Sucesso, Inserção bem-sucedida.
314879, 314888, Sucesso, Inserção bem-sucedida.
314879, 314895, Sucesso, Inserção bem-sucedida.
314879, 1513464, Sucesso, Inserção bem-sucedida.
314879, 1513465, Sucesso, Inserção bem-sucedida.
314896, 2078992, Sucesso, Inserção bem-sucedida.
314896, 2078993, Sucesso, Inserção bem-sucedida.
314896, 2078995, Sucesso, Inserção bem-sucedida.
314923, 2079330, Sucesso, Inserção bem-sucedida.
314923, 2079332, Sucesso, Inserção bem-sucedida.
314923, 2079333, Sucesso, Inserção bem-sucedida.
314923, 2079334, Sucesso, Inserção bem-sucedida.
314923, 2079335, Sucesso, Inserção bem-sucedida.
314945, 309337, Sucesso, Inserção bem-sucedida.
314945, 314949, Sucesso, Inserção bem-sucedida.
314945, 1513470, Sucesso, Inserção bem-sucedida.
314945, 1513471, Sucesso, Inserção bem-sucedida.
315015, 309202, Sucesso, Inserção bem-sucedida.
315015, 315021, Sucesso, Inserção bem-sucedida.
315015, 1513472, Sucesso, Inserção bem-sucedida.
315015, 1513474, Sucesso, Inserção bem-sucedida.
315115, 309191, Sucesso, Inserção bem-sucedida.
315115, 315123, Sucesso, Inserção bem-sucedida.
315115, 1513475, Sucesso, Inserção bem-sucedida.
315115, 1513476, Sucesso, Inserção bem-sucedida.
315323, 309175, Sucesso, Inserção bem-sucedida.
315323, 1513477, Sucesso, Inserção bem-sucedida.
315323, 1513478, Sucesso, Inserção bem-sucedida.
315323, 1513479, Sucesso, Inserção bem-sucedida.
315444, 309166, Sucesso, Inserção bem-sucedida.
315444, 315454, Sucesso, Inserção bem-sucedida.
315444, 1513480, Sucesso, Inserção bem-sucedida.
315444, 1513481, Sucesso, Inserção bem-sucedida.
316086, 316081, Sucesso, Inserção bem-sucedida.
316086, 1747582, Sucesso, Inserção bem-sucedida.
316086, 1747583, Sucesso, Inserção bem-sucedida.
316086, 1747585, Sucesso, Inserção bem-sucedida.
316086, 3196853, Sucesso, Inserção bem-sucedida.
316384, 316390, Sucesso, Inserção bem-sucedida.
316384, 316396, Sucesso, Inserção bem-sucedida.
316384, 316398, Sucesso, Inserção bem-sucedida.
316384, 321574, Sucesso, Inserção bem-sucedida.
316384, 347664, Sucesso, Inserção bem-sucedida.
316384, 883485, Sucesso, Inserção bem-sucedida.
316384, 3265697, Sucesso, Inserção bem-sucedida.
316407, 316413, Sucesso, Inserção bem-sucedida.
316407, 321580, Sucesso, Inserção bem-sucedida.
